File_Name,Sentiment,Score
no1,negative,-2.6666666666666665
no10,positive,5.0
no11,neutral,0.0
no12,neutral,0.0
no13,negative,-1.5
no14,neutral,0.0
no15,neutral,0.0
no16,neutral,0.0
no17,negative,-5.25
no18,neutral,0.0
no19,neutral,0.0
no2,negative,-8.25
no20,negative,-1.5
no21,positive,1.0333333333333332
no22,positive,0.3333333333333333
no23,neutral,0.0
no24,neutral,0.0
no25,negative,-3.75
no26,positive,1.5
no27,positive,1.75
no28,positive,2.0
no29,negative,-1.5
no3,negative,-7.5
no30,neutral,0.0
no31,negative,-2.5
no32,positive,1.0
no33,neutral,0.0
no34,neutral,0.0
no35,negative,-3.25
no36,positive,1.3333333333333333
no37,positive,1.0
no38,positive,2.0
no39,positive,1.0
no4,negative,-7.5
no40,negative,-1.875
no41,positive,3.0
no42,negative,-3.75
no43,neutral,0.0
no44,positive,1.0
no45,positive,2.1
no46,neutral,0.0
no47,negative,-0.75
no48,negative,-9.0
no49,positive,3.0
no5,neutral,0.0
no50,negative,-1.25
no51,positive,1.0
no52,neutral,0.0
no53,negative,-1.125
no54,negative,-4.5
no55,neutral,0.0
no56,positive,3.0
no57,positive,1.0
no58,positive,2.0
no59,negative,-0.9833333333333334
no6,neutral,0.0
no60,negative,-7.5
no7,neutral,0.0
no8,negative,-7.5
no9,negative,-0.625
yes1,neutral,0.0
yes10,neutral,0.0
yes100,positive,0.025000000000000133
yes101,neutral,0.0
yes102,positive,2.0
yes103,negative,-3.375
yes104,negative,-1.5
yes105,neutral,0.0
yes106,neutral,0.0
yes107,neutral,0.0
yes108,neutral,0.0
yes109,negative,-3.5
yes11,neutral,0.0
yes110,negative,-6.0
yes111,neutral,0.0
yes112,positive,10.0
yes113,negative,-7.5
yes114,positive,1.6
yes115,neutral,0.0
yes116,positive,2.0
yes117,positive,2.0
yes118,positive,5.0
yes119,positive,3.5
yes12,neutral,0.0
yes120,neutral,0.0
yes121,neutral,0.0
yes122,neutral,0.0
yes123,negative,-3.0
yes124,positive,5.0
yes125,positive,3.5
yes126,positive,2.5
yes127,positive,1.0
yes128,positive,0.5
yes129,neutral,0.0
yes13,positive,1.92
yes130,negative,-1.25
yes131,positive,3.0
yes132,neutral,0.0
yes133,positive,2.0
yes134,neutral,0.0
yes135,positive,3.0
yes136,neutral,0.0
yes137,positive,4.0
yes14,positive,4.0
yes15,neutral,0.0
yes16,neutral,0.0
yes17,positive,5.0
yes18,positive,3.0
yes19,neutral,0.0
yes2,negative,-1.5
yes20,positive,1.0
yes21,positive,5.0
yes22,neutral,0.0
yes23,negative,-4.5
yes24,neutral,0.0
yes25,positive,5.0
yes26,neutral,0.0
yes27,neutral,0.0
yes28,neutral,0.0
yes29,positive,2.0
yes3,neutral,0.0
yes30,neutral,0.0
yes31,neutral,0.0
yes32,positive,5.0
yes33,positive,4.0
yes34,neutral,0.0
yes35,neutral,0.0
yes36,neutral,0.0
yes37,neutral,0.0
yes38,positive,6.0
yes39,neutral,0.0
yes4,neutral,0.0
yes40,neutral,0.0
yes41,neutral,0.0
yes42,neutral,0.0
yes43,positive,1.6
yes44,negative,-1.5
yes45,negative,-3.0
yes46,neutral,0.0
yes47,neutral,0.0
yes48,negative,-0.75
yes49,positive,5.5
yes5,neutral,0.0
yes50,neutral,0.0
yes51,neutral,0.0
yes52,neutral,0.0
yes53,negative,-7.5
yes54,neutral,0.0
yes55,positive,6.0
yes56,neutral,0.0
yes57,neutral,0.0
yes58,neutral,0.0
yes59,neutral,0.0
yes6,positive,1.5
yes60,neutral,0.0
yes61,neutral,0.0
yes62,neutral,0.0
yes63,neutral,0.0
yes64,positive,1.3333333333333333
yes65,positive,5.0
yes66,positive,1.2
yes67,neutral,0.0
yes68,neutral,0.0
yes69,neutral,0.0
yes7,positive,7.0
yes70,positive,6.5
yes71,positive,1.5
yes72,neutral,0.0
yes73,neutral,0.0
yes74,neutral,0.0
yes75,positive,3.0
yes76,neutral,0.0
yes77,neutral,0.0
yes78,positive,2.0
yes79,neutral,0.0
yes8,neutral,0.0
yes80,neutral,0.0
yes81,neutral,0.0
yes82,negative,-7.5
yes83,positive,5.0
yes84,positive,4.0
yes85,neutral,0.0
yes86,positive,1.25
yes87,neutral,0.0
yes88,negative,-1.5
yes89,positive,1.0
yes9,negative,-2.1
yes90,neutral,0.0
yes91,neutral,0.0
yes92,negative,-1.0
yes93,neutral,0.0
yes94,positive,2.0
yes95,neutral,0.0
yes96,positive,1.5
yes97,neutral,0.0
yes98,positive,3.0
yes99,positive,1.0
